periodo,sector_agregado,valor
2009-10-01,"Agricultura, ganadería, caza y silvicultura",27522.75175121024
2009-10-01,"Comercio mayorista, minorista y reparaciones",81947.77379624009
2009-10-01,Construcción,19386.763883419244
2009-10-01,"Electricidad, gas y agua",10015.629984902132
2009-10-01,Enseñanza,22367.775881024285
2009-10-01,Explotación de minas y canteras,24792.42546096643
2009-10-01,Hogares privados con servicio doméstico,3778.3077490653873
2009-10-01,Hoteles y restaurantes,9873.869457936938
2009-10-01,Industria manufacturera,119600.37641755356
2009-10-01,Intermediación financiera,22632.9564413584
2009-10-01,"Otras actividades de servicios comunitarias, sociales y personales",17065.151117490554
2009-10-01,Pesca,1313.9889557910303
2009-10-01,Servicios sociales y de salud,17546.017997311854
2009-10-01,"Transporte, almacenamiento y comunicaciones",46158.11774465321
2009-10-01,Total economía,518186.66249143024
2009-Total,"Actividades inmobiliarias, empresariales y de alquiler",64814.01951666126
2009-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,26689.4561052474
2009-Total,"Agricultura, ganadería, caza y silvicultura",35993.75230144634
2009-Total,"Comercio mayorista, minorista y reparaciones",79129.5172437434
2009-Total,Construcción,19065.80168024873
2009-Total,"Electricidad, gas y agua",10455.74846829224
2009-Total,Enseñanza,21533.535011164433
2009-Total,Explotación de minas y canteras,24709.877893311448
2009-Total,Hogares privados con servicio doméstico,3911.841117358276
2009-Total,Hoteles y restaurantes,9409.32945439862
2009-Total,Industria manufacturera,111260.23518814905
2009-Total,Intermediación financiera,22648.52109232751
2009-Total,"Otras actividades de servicios comunitarias, sociales y personales",16927.39389505241
2009-Total,Pesca,1614.5748666015002
2009-Total,Servicios sociales y de salud,18034.88661258787
2009-Total,"Transporte, almacenamiento y comunicaciones",45485.31973539691
2009-Total,Total economía,511683.8101819872
2010-01-01,"Actividades inmobiliarias, empresariales y de alquiler",65362.17071687692
2010-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,27402.13395995034
2010-01-01,"Agricultura, ganadería, caza y silvicultura",33044.93863242289
2010-01-01,"Comercio mayorista, minorista y reparaciones",80935.42706041448
2010-01-01,Construcción,20235.022403340456
2010-01-01,"Electricidad, gas y agua",10563.941645668
2010-01-01,Enseñanza,21875.816186524535
2010-01-01,Explotación de minas y canteras,25046.17807557177
2010-01-01,Hogares privados con servicio doméstico,3739.070979372864
2010-01-01,Hoteles y restaurantes,10450.03166535798
2010-01-01,Industria manufacturera,109908.23914134916
2010-01-01,Intermediación financiera,22308.342547300897
2010-01-01,"Otras actividades de servicios comunitarias, sociales y personales",17522.66361100437
2010-01-01,Pesca,896.7655659556538
2010-01-01,Servicios sociales y de salud,17859.29251754036
2010-01-01,"Transporte, almacenamiento y comunicaciones",46552.77816825278
2010-01-01,Total economía,513702.81287690334
2010-04-01,"Actividades inmobiliarias, empresariales y de alquiler",67775.39808794
2010-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,27571.90022303
2010-04-01,"Agricultura, ganadería, caza y silvicultura",106261.14201319175
2010-04-01,"Comercio mayorista, minorista y reparaciones",88742.9853460054
2010-04-01,Construcción,20775.17494805789
2010-04-01,"Electricidad, gas y agua",10448.30990927256
2010-04-01,Enseñanza,22381.48795784273
2010-04-01,Explotación de minas y canteras,25543.209580437608
2010-04-01,Hogares privados con servicio doméstico,3945.4172738324783
2010-04-01,Hoteles y restaurantes,9632.909713602325
2010-04-01,Industria manufacturera,123636.54793188776
2010-04-01,Intermediación financiera,23017.897470612537
2010-04-01,"Otras actividades de servicios comunitarias, sociales y personales",17595.951395673015
2010-04-01,Pesca,2031.3191515139165
2010-04-01,Servicios sociales y de salud,19813.55926656169
2010-04-01,"Transporte, almacenamiento y comunicaciones",52135.27836858109
2010-04-01,Total economía,621308.4886380426
2010-07-01,"Actividades inmobiliarias, empresariales y de alquiler",68799.51239268706
2010-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,27540.47556159687
2010-07-01,"Agricultura, ganadería, caza y silvicultura",30899.44326908881
2010-07-01,"Comercio mayorista, minorista y reparaciones",92699.57935565416
2010-07-01,Construcción,21801.302529601664
2010-07-01,"Electricidad, gas y agua",10928.80416545911
2010-07-01,Enseñanza,22450.242319061697
2010-07-01,Explotación de minas y canteras,25721.42094501317
2010-07-01,Hogares privados con servicio doméstico,4182.6299860740455
2010-07-01,Hoteles y restaurantes,10398.589240657318
2010-07-01,Industria manufacturera,128980.69590513616
2010-07-01,Intermediación financiera,22530.45058995845
2010-07-01,"Otras actividades de servicios comunitarias, sociales y personales",18519.39804476991
2010-07-01,Pesca,2538.926151078007
2010-07-01,Servicios sociales y de salud,19321.934426701413
2010-07-01,"Transporte, almacenamiento y comunicaciones",49866.33440938376
2010-07-01,Total economía,557179.739291922
2010-10-01,"Actividades inmobiliarias, empresariales y de alquiler",70850.65605003333
2010-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,27929.87316558047
2010-10-01,"Agricultura, ganadería, caza y silvicultura",33050.39182962894
2010-10-01,"Comercio mayorista, minorista y reparaciones",94257.60885330236
2010-10-01,Construcción,20908.310291414586
2010-10-01,"Electricidad, gas y agua",10610.354644541994
2010-10-01,Enseñanza,22615.878947219397
2010-10-01,Explotación de minas y canteras,24084.360146049068
2010-10-01,Hogares privados con servicio doméstico,3844.002975929772
2010-10-01,Hoteles y restaurantes,10715.730483865163
2010-10-01,Industria manufacturera,131060.26564849204
2010-10-01,Intermediación financiera,23192.532764022268
2010-10-01,"Otras actividades de servicios comunitarias, sociales y personales",17712.158277112565
2010-10-01,Pesca,1167.609961745606
2010-10-01,Servicios sociales y de salud,18234.05658338868
2010-10-01,"Transporte, almacenamiento y comunicaciones",49565.31518121748
2010-10-01,Total economía,559799.1058035437
2010-Total,"Actividades inmobiliarias, empresariales y de alquiler",68196.93431188432
2010-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,27611.09572753942
2010-Total,"Agricultura, ganadería, caza y silvicultura",50813.9789360831
2010-Total,"Comercio mayorista, minorista y reparaciones",89158.9001538441
2010-Total,Construcción,20929.95254310365
2010-Total,"Electricidad, gas y agua",10637.852591235416
2010-Total,Enseñanza,22330.85635266209
2010-Total,Explotación de minas y canteras,25098.792186767903
2010-Total,Hogares privados con servicio doméstico,3927.78030380229
2010-Total,Hoteles y restaurantes,10299.315275870696
2010-Total,Industria manufacturera,123396.43715671632
2010-Total,Intermediación financiera,22762.30584297354
2010-Total,"Otras actividades de servicios comunitarias, sociales y personales",17837.542832139967
2010-Total,Pesca,1658.655207573296
2010-Total,Servicios sociales y de salud,18807.210698548035
2010-Total,"Transporte, almacenamiento y comunicaciones",49529.92653185877
2010-Total,Total economía,562997.536652603
2011-01-01,"Actividades inmobiliarias, empresariales y de alquiler",66975.7196945894
2011-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,28002.34593427232
2011-01-01,"Agricultura, ganadería, caza y silvicultura",36789.90995635269
2011-01-01,"Comercio mayorista, minorista y reparaciones",91677.92166975596
2011-01-01,Construcción,22642.523144387975
2011-01-01,"Electricidad, gas y agua",11119.028802652469
2011-01-01,Enseñanza,22326.917384251257
2011-01-01,Explotación de minas y canteras,23907.72416454516
2011-01-01,Hogares privados con servicio doméstico,3749.740894525493
2011-01-01,Hoteles y restaurantes,10962.36021895674
2011-01-01,Industria manufacturera,121432.83639383176
2011-01-01,Intermediación financiera,23894.279424891854
2011-01-01,"Otras actividades de servicios comunitarias, sociales y personales",18335.19065174869
2011-01-01,Pesca,1141.9542788946148
2011-01-01,Servicios sociales y de salud,19053.708241253626
2011-01-01,"Transporte, almacenamiento y comunicaciones",50160.37094913447
2011-01-01,Total economía,552172.5318040445
2011-04-01,"Actividades inmobiliarias, empresariales y de alquiler",71403.24463055842
2011-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,28205.06930646272
2011-04-01,"Agricultura, ganadería, caza y silvicultura",96796.91702031324
2011-04-01,"Comercio mayorista, minorista y reparaciones",100328.7690709326
2011-04-01,Construcción,22631.753358817274
2011-04-01,"Electricidad, gas y agua",10903.662209846216
2011-04-01,Enseñanza,22784.97072581089
2011-04-01,Explotación de minas y canteras,22163.90391417955
2011-04-01,Hogares privados con servicio doméstico,4027.875128132155
2011-04-01,Hoteles y restaurantes,10326.962263803143
2011-04-01,Industria manufacturera,136012.85291016378
2011-04-01,Intermediación financiera,24716.57708106261
2011-04-01,"Otras actividades de servicios comunitarias, sociales y personales",18837.494631446123
2011-04-01,Pesca,2068.3530709328325
2011-04-01,Servicios sociales y de salud,21216.71275808836
2011-04-01,"Transporte, almacenamiento y comunicaciones",54473.51492217669
2011-04-01,Total economía,646898.6330027265
2011-07-01,"Actividades inmobiliarias, empresariales y de alquiler",72232.28382656715
2011-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,28781.408481767623
2011-07-01,"Agricultura, ganadería, caza y silvicultura",31511.160965454925
2011-07-01,"Comercio mayorista, minorista y reparaciones",102946.33993489428
2011-07-01,Construcción,23914.29214741788
2011-07-01,"Electricidad, gas y agua",11294.286688763292
2011-07-01,Enseñanza,23341.415963662977
2011-07-01,Explotación de minas y canteras,24169.46710439393
2011-07-01,Hogares privados con servicio doméstico,4102.625952456971
2011-07-01,Hoteles y restaurantes,10930.816993555109
2011-07-01,Industria manufacturera,138227.83704677943
2011-07-01,Intermediación financiera,25507.454280555212
2011-07-01,"Otras actividades de servicios comunitarias, sociales y personales",18668.56167090096
2011-07-01,Pesca,2321.2499960428595
2011-07-01,Servicios sociales y de salud,20045.588438765382
2011-07-01,"Transporte, almacenamiento y comunicaciones",52450.29317001754
2011-07-01,Total economía,590445.0826619952
2011-10-01,"Actividades inmobiliarias, empresariales y de alquiler",74315.3449338333
2011-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,28967.290103693667
2011-10-01,"Agricultura, ganadería, caza y silvicultura",32714.430190837556
2011-10-01,"Comercio mayorista, minorista y reparaciones",99781.86268157896
2011-10-01,Construcción,22522.742466737887
2011-10-01,"Electricidad, gas y agua",11252.030147651432
2011-10-01,Enseñanza,23575.762099941956
2011-10-01,Explotación de minas y canteras,24300.995907096225
2011-10-01,Hogares privados con servicio doméstico,4021.518796247331
2011-10-01,Hoteles y restaurantes,11065.03903594321
2011-10-01,Industria manufacturera,135753.51188160872
2011-10-01,Intermediación financiera,25880.393505892203
2011-10-01,"Otras actividades de servicios comunitarias, sociales y personales",18349.354531994108
2011-10-01,Pesca,1449.4044473770698
2011-10-01,Servicios sociales y de salud,18888.38908297745
2011-10-01,"Transporte, almacenamiento y comunicaciones",51726.764462975814
2011-10-01,Total economía,584564.8342763868
2011-Total,"Actividades inmobiliarias, empresariales y de alquiler",71231.64827138706
2011-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,28489.02845654908
2011-Total,"Agricultura, ganadería, caza y silvicultura",49453.10453323961
2011-Total,"Comercio mayorista, minorista y reparaciones",98683.72333929047
2011-Total,Construcción,22927.827779340252
2011-Total,"Electricidad, gas y agua",11142.251962228353
2011-Total,Enseñanza,23007.26654341677
2011-Total,Explotación de minas y canteras,23635.522772553715
2011-Total,Hogares privados con servicio doméstico,3975.440192840488
2011-Total,Hoteles y restaurantes,10821.29462806455
2011-Total,Industria manufacturera,132856.75955809592
2011-Total,Intermediación financiera,24999.67607310047
2011-Total,"Otras actividades de servicios comunitarias, sociales y personales",18547.650371522468
2011-Total,Pesca,1745.240448311844
2011-Total,Servicios sociales y de salud,19801.099630271205
2011-Total,"Transporte, almacenamiento y comunicaciones",52202.735876076134
2011-Total,Total economía,593520.2704362881
2012-01-01,"Actividades inmobiliarias, empresariales y de alquiler",68916.63787556007
2012-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,29046.283792427577
2012-01-01,"Agricultura, ganadería, caza y silvicultura",34318.98493040696
2012-01-01,"Comercio mayorista, minorista y reparaciones",91795.6427247324
2012-01-01,Construcción,22923.655844658264
2012-01-01,"Electricidad, gas y agua",11912.514153307417
2012-01-01,Enseñanza,23179.852924582206
2012-01-01,Explotación de minas y canteras,23136.99030476001
2012-01-01,Hogares privados con servicio doméstico,4051.8307588126504
2012-01-01,Hoteles y restaurantes,11219.605698003292
2012-01-01,Industria manufacturera,120673.38272151037
2012-01-01,Intermediación financiera,25986.812530551873
2012-01-01,"Otras actividades de servicios comunitarias, sociales y personales",18440.95987804056
2012-01-01,Pesca,1288.8172946089917
2012-01-01,Servicios sociales y de salud,20431.669720679492
2012-01-01,"Transporte, almacenamiento y comunicaciones",51067.29403286046
2012-01-01,Total economía,558390.9351855027
2012-04-01,"Actividades inmobiliarias, empresariales y de alquiler",71083.74254582435
2012-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,29175.623164013217
2012-04-01,"Agricultura, ganadería, caza y silvicultura",74014.0418142221
2012-04-01,"Comercio mayorista, minorista y reparaciones",94062.58877423347
2012-04-01,Construcción,22210.449451183536
2012-04-01,"Electricidad, gas y agua",11427.575951918285
2012-04-01,Enseñanza,23649.1942425683
2012-04-01,Explotación de minas y canteras,23351.47087448691
2012-04-01,Hogares privados con servicio doméstico,4204.196599839417
2012-04-01,Hoteles y restaurantes,10433.780817521942
2012-04-01,Industria manufacturera,128098.39302481044
2012-04-01,Intermediación financiera,26203.845306199622
2012-04-01,"Otras actividades de servicios comunitarias, sociales y personales",18859.63736646916
2012-04-01,Pesca,1703.4094325399794
2012-04-01,Servicios sociales y de salud,22268.045345353028
2012-04-01,"Transporte, almacenamiento y comunicaciones",54149.67142410903
2012-04-01,Total economía,614895.666135293
2012-07-01,"Actividades inmobiliarias, empresariales y de alquiler",70685.09076169688
2012-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,29401.12857341707
2012-07-01,"Agricultura, ganadería, caza y silvicultura",32049.64779299386
2012-07-01,"Comercio mayorista, minorista y reparaciones",98493.8962267744
2012-07-01,Construcción,22502.781808827207
2012-07-01,"Electricidad, gas y agua",11768.686651906395
2012-07-01,Enseñanza,23916.232693747173
2012-07-01,Explotación de minas y canteras,23805.92142712143
2012-07-01,Hogares privados con servicio doméstico,4247.338114234434
2012-07-01,Hoteles y restaurantes,11085.997504564231
2012-07-01,Industria manufacturera,132304.6655369362
2012-07-01,Intermediación financiera,27158.608178359813
2012-07-01,"Otras actividades de servicios comunitarias, sociales y personales",19421.264987567734
2012-07-01,Pesca,2458.4454901490185
2012-07-01,Servicios sociales y de salud,20903.91130021024
2012-07-01,"Transporte, almacenamiento y comunicaciones",52759.66340835026
2012-07-01,Total economía,582963.280456856
2012-10-01,"Actividades inmobiliarias, empresariales y de alquiler",72549.19224710639
2012-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,29762.203980467064
2012-10-01,"Agricultura, ganadería, caza y silvicultura",31021.037433122
2012-10-01,"Comercio mayorista, minorista y reparaciones",99430.32694160935
2012-10-01,Construcción,21841.087903725653
2012-10-01,"Electricidad, gas y agua",11538.888043975305
2012-10-01,Enseñanza,24336.537341277384
2012-10-01,Explotación de minas y canteras,23106.515325120177
2012-10-01,Hogares privados con servicio doméstico,4114.012682725714
2012-10-01,Hoteles y restaurantes,11141.3495885496
2012-10-01,Industria manufacturera,134868.39359001658
2012-10-01,Intermediación financiera,27994.658938316952
2012-10-01,"Otras actividades de servicios comunitarias, sociales y personales",18772.190621495312
2012-10-01,Pesca,1571.5347859716985
2012-10-01,Servicios sociales y de salud,19964.653540891493
2012-10-01,"Transporte, almacenamiento y comunicaciones",52082.6912576
2012-10-01,Total economía,584095.2742219708
2012-Total,"Actividades inmobiliarias, empresariales y de alquiler",70808.66585754692
2012-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,29346.309877581236
2012-Total,"Agricultura, ganadería, caza y silvicultura",42850.92799268624
2012-Total,"Comercio mayorista, minorista y reparaciones",95945.6136668374
2012-Total,Construcción,22369.493752098664
2012-Total,"Electricidad, gas y agua",11661.916200276852
2012-Total,Enseñanza,23770.454300543763
2012-Total,Explotación de minas y canteras,23350.224482872127
2012-Total,Hogares privados con servicio doméstico,4154.344538903054
2012-Total,Hoteles y restaurantes,10970.183402159766
2012-Total,Industria manufacturera,128986.2087183184
2012-Total,Intermediación financiera,26835.981238357068
2012-Total,"Otras actividades de servicios comunitarias, sociales y personales",18873.51321339319
2012-Total,Pesca,1755.551750817422
2012-Total,Servicios sociales y de salud,20892.069976783565
2012-Total,"Transporte, almacenamiento y comunicaciones",52514.830030729936
2012-Total,Total economía,585086.2889999056
2013-01-01,"Actividades inmobiliarias, empresariales y de alquiler",68510.72680430018
2013-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,29769.09175095966
2013-01-01,"Agricultura, ganadería, caza y silvicultura",36095.57619416162
2013-01-01,"Comercio mayorista, minorista y reparaciones",93060.85156307548
2013-01-01,Construcción,22373.07298713568
2013-01-01,"Electricidad, gas y agua",11468.106423798572
2013-01-01,Enseñanza,23879.03339752377
2013-01-01,Explotación de minas y canteras,21980.59464017101
2013-01-01,Hogares privados con servicio doméstico,4049.6046833471232
2013-01-01,Hoteles y restaurantes,11150.128273743994
2013-01-01,Industria manufacturera,118001.2070449916
2013-01-01,Intermediación financiera,27086.519430708508
2013-01-01,"Otras actividades de servicios comunitarias, sociales y personales",18038.976786551335
2013-01-01,Pesca,1285.0384582217305
2013-01-01,Servicios sociales y de salud,21015.051669791446
2013-01-01,"Transporte, almacenamiento y comunicaciones",51126.635657179075
2013-01-01,Total economía,558890.2157656607
2013-04-01,"Actividades inmobiliarias, empresariales y de alquiler",71717.86585669772
2013-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,29904.535353371244
2013-04-01,"Agricultura, ganadería, caza y silvicultura",91073.23400299891
2013-04-01,"Comercio mayorista, minorista y reparaciones",101333.47768842
2013-04-01,Construcción,22507.579735885807
2013-04-01,"Electricidad, gas y agua",11469.41679156968
2013-04-01,Enseñanza,24329.18709332761
2013-04-01,Explotación de minas y canteras,22434.34230137216
2013-04-01,Hogares privados con servicio doméstico,4359.2742244495075
2013-04-01,Hoteles y restaurantes,10537.237586280547
2013-04-01,Industria manufacturera,133402.93035295708
2013-04-01,Intermediación financiera,27561.305946262622
2013-04-01,"Otras actividades de servicios comunitarias, sociales y personales",18549.23789822724
2013-04-01,Pesca,2511.075023388835
2013-04-01,Servicios sociales y de salud,22905.444705425987
2013-04-01,"Transporte, almacenamiento y comunicaciones",56360.09521200785
2013-04-01,Total economía,650956.2397726428
2013-07-01,"Actividades inmobiliarias, empresariales y de alquiler",71787.51422141075
2013-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,30240.902883316143
2013-07-01,"Agricultura, ganadería, caza y silvicultura",31769.160841676818
2013-07-01,"Comercio mayorista, minorista y reparaciones",101141.7737859964
2013-07-01,Construcción,22871.452376564397
2013-07-01,"Electricidad, gas y agua",12086.87443707862
2013-07-01,Enseñanza,24741.21917768573
2013-07-01,Explotación de minas y canteras,22692.13398343136
2013-07-01,Hogares privados con servicio doméstico,4241.515255687346
2013-07-01,Hoteles y restaurantes,11212.949227161916
2013-07-01,Industria manufacturera,136116.54181495315
2013-07-01,Intermediación financiera,27920.76557158467
2013-07-01,"Otras actividades de servicios comunitarias, sociales y personales",19455.53766936902
2013-07-01,Pesca,2877.9245976025036
2013-07-01,Servicios sociales y de salud,21514.793424015446
2013-07-01,"Transporte, almacenamiento y comunicaciones",54346.36706618437
2013-07-01,Total economía,595017.4263337185
2013-10-01,"Actividades inmobiliarias, empresariales y de alquiler",73295.3179954559
2013-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,30570.819608741676
2013-10-01,"Agricultura, ganadería, caza y silvicultura",31335.3107023842
2013-10-01,"Comercio mayorista, minorista y reparaciones",97821.76374721376
2013-10-01,Construcción,21631.916941617063
2013-10-01,"Electricidad, gas y agua",11849.05343608836
2013-10-01,Enseñanza,24857.436168542325
2013-10-01,Explotación de minas y canteras,22513.594682141804
2013-10-01,Hogares privados con servicio doméstico,4337.988207110717
2013-10-01,Hoteles y restaurantes,10987.069600082204
2013-10-01,Industria manufacturera,136181.54952612898
2013-10-01,Intermediación financiera,27817.271272193633
2013-10-01,"Otras actividades de servicios comunitarias, sociales y personales",18400.14196668411
2013-10-01,Pesca,1955.862851871757
2013-10-01,Servicios sociales y de salud,20378.642802111302
2013-10-01,"Transporte, almacenamiento y comunicaciones",53184.57675523379
2013-10-01,Total economía,587118.3162636015
2013-Total,"Actividades inmobiliarias, empresariales y de alquiler",71327.85621946615
2013-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,30121.337399097178
2013-Total,"Agricultura, ganadería, caza y silvicultura",47568.32043530539
2013-Total,"Comercio mayorista, minorista y reparaciones",98339.46669617642
2013-Total,Construcción,22346.00551030074
2013-Total,"Electricidad, gas y agua",11718.362772133809
2013-Total,Enseñanza,24451.71895926986
2013-Total,Explotación de minas y canteras,22405.166401779086
2013-Total,Hogares privados con servicio doméstico,4247.095592648674
2013-Total,Hoteles y restaurantes,10971.846171817166
2013-Total,Industria manufacturera,130925.55718475768
2013-Total,Intermediación financiera,27596.46555518736
2013-Total,"Otras actividades de servicios comunitarias, sociales y personales",18610.973580207927
2013-Total,Pesca,2157.4752327712067
2013-Total,Servicios sociales y de salud,21453.483150336047
2013-Total,"Transporte, almacenamiento y comunicaciones",53754.41867265127
2013-Total,Total economía,597995.5495339059
2014-01-01,"Actividades inmobiliarias, empresariales y de alquiler",68254.78200853398
2014-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,30652.18001038917
2014-01-01,"Agricultura, ganadería, caza y silvicultura",34577.980474705844
2014-01-01,"Comercio mayorista, minorista y reparaciones",88486.00499848135
2014-01-01,Construcción,22386.9704111195
2014-01-01,"Electricidad, gas y agua",11829.626674882322
2014-01-01,Enseñanza,24387.66620565861
2014-01-01,Explotación de minas y canteras,22356.03400640624
2014-01-01,Hogares privados con servicio doméstico,4184.344581401804
2014-01-01,Hoteles y restaurantes,10882.036399731058
2014-01-01,Industria manufacturera,116202.17665917802
2014-01-01,Intermediación financiera,27549.55784287249
2014-01-01,"Otras actividades de servicios comunitarias, sociales y personales",18179.12163972373
2014-01-01,Pesca,1411.7160686462105
2014-01-01,Servicios sociales y de salud,21363.66328699657
2014-01-01,"Transporte, almacenamiento y comunicaciones",51836.00906083405
2014-01-01,Total economía,554539.8703295612
2014-04-01,"Actividades inmobiliarias, empresariales y de alquiler",71382.34464973237
2014-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,30830.82094018797
2014-04-01,"Agricultura, ganadería, caza y silvicultura",98120.79179650186
2014-04-01,"Comercio mayorista, minorista y reparaciones",92097.08185440782
2014-04-01,Construcción,22011.102723016633
2014-04-01,"Electricidad, gas y agua",11910.364420872818
2014-04-01,Enseñanza,25013.13236857288
2014-04-01,Explotación de minas y canteras,22767.47509843917
2014-04-01,Hogares privados con servicio doméstico,4211.647068706529
2014-04-01,Hoteles y restaurantes,10093.521557085956
2014-04-01,Industria manufacturera,126338.83495226402
2014-04-01,Intermediación financiera,26720.1785031392
2014-04-01,"Otras actividades de servicios comunitarias, sociales y personales",17980.06148969477
2014-04-01,Pesca,2594.8486345731963
2014-04-01,Servicios sociales y de salud,23262.671139221668
2014-04-01,"Transporte, almacenamiento y comunicaciones",56763.3079818579
2014-04-01,Total economía,642098.1851782749
2014-07-01,"Actividades inmobiliarias, empresariales y de alquiler",71610.20864551375
2014-07-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,31204.708736193305
2014-07-01,"Agricultura, ganadería, caza y silvicultura",32108.52980115827
2014-07-01,"Comercio mayorista, minorista y reparaciones",93038.39775946576
2014-07-01,Construcción,22046.805709776247
2014-07-01,"Electricidad, gas y agua",12015.999414131387
2014-07-01,Enseñanza,25414.42514637099
2014-07-01,Explotación de minas y canteras,22905.35521928779
2014-07-01,Hogares privados con servicio doméstico,4348.5844007839705
2014-07-01,Hoteles y restaurantes,11030.750456933518
2014-07-01,Industria manufacturera,126678.10097326676
2014-07-01,Intermediación financiera,26714.474589630463
2014-07-01,"Otras actividades de servicios comunitarias, sociales y personales",18677.05428705397
2014-07-01,Pesca,2636.8474333156814
2014-07-01,Servicios sociales y de salud,21850.012794045113
2014-07-01,"Transporte, almacenamiento y comunicaciones",54176.41062068173
2014-07-01,Total economía,576456.6659876087
2014-10-01,"Actividades inmobiliarias, empresariales y de alquiler",72609.55350431347
2014-10-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,31530.339767557132
2014-10-01,"Agricultura, ganadería, caza y silvicultura",31532.74344684308
2014-10-01,"Comercio mayorista, minorista y reparaciones",92797.12334537588
2014-10-01,Construcción,21135.36912701761
2014-10-01,"Electricidad, gas y agua",12039.116409437278
2014-10-01,Enseñanza,25724.43866223468
2014-10-01,Explotación de minas y canteras,22991.34352278002
2014-10-01,Hogares privados con servicio doméstico,4289.973052881792
2014-10-01,Hoteles y restaurantes,11361.895114821697
2014-10-01,Industria manufacturera,128014.957580086
2014-10-01,Intermediación financiera,26369.973600889287
2014-10-01,"Otras actividades de servicios comunitarias, sociales y personales",18173.930227539568
2014-10-01,Pesca,2094.1835012722154
2014-10-01,Servicios sociales y de salud,20813.443638579774
2014-10-01,"Transporte, almacenamiento y comunicaciones",53896.24833424766
2014-10-01,Total economía,575374.6328358768
2014-Total,"Actividades inmobiliarias, empresariales y de alquiler",70964.22220202339
2014-Total,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,31054.512363581893
2014-Total,"Agricultura, ganadería, caza y silvicultura",49085.011379802265
2014-Total,"Comercio mayorista, minorista y reparaciones",91604.6519894327
2014-Total,Construcción,21895.061992732495
2014-Total,"Electricidad, gas y agua",11948.776729830952
2014-Total,Enseñanza,25134.91559570929
2014-Total,Explotación de minas y canteras,22755.051961728303
2014-Total,Hogares privados con servicio doméstico,4258.637275943524
2014-Total,Hoteles y restaurantes,10842.050882143056
2014-Total,Industria manufacturera,124308.5175411987
2014-Total,Intermediación financiera,26838.546134132863
2014-Total,"Otras actividades de servicios comunitarias, sociales y personales",18252.54191100301
2014-Total,Pesca,2184.3989094518256
2014-Total,Servicios sociales y de salud,21822.447714710783
2014-Total,"Transporte, almacenamiento y comunicaciones",54167.99399940534
2014-Total,Total economía,587117.3385828304
2015-01-01,"Actividades inmobiliarias, empresariales y de alquiler",69141.22706026405
2015-01-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,31690.396832929076
2015-01-01,"Agricultura, ganadería, caza y silvicultura",36007.89071605031
2015-01-01,"Comercio mayorista, minorista y reparaciones",89156.90293887624
2015-01-01,Construcción,22177.876504632983
2015-01-01,"Electricidad, gas y agua",12698.639625846326
2015-01-01,Enseñanza,25024.621590673563
2015-01-01,Explotación de minas y canteras,22766.04510495615
2015-01-01,Hogares privados con servicio doméstico,4336.165024911439
2015-01-01,Hoteles y restaurantes,11170.104226462685
2015-01-01,Industria manufacturera,113313.48189470048
2015-01-01,Intermediación financiera,26411.85495704479
2015-01-01,"Otras actividades de servicios comunitarias, sociales y personales",18005.483676412045
2015-01-01,Pesca,1313.808588745606
2015-01-01,Servicios sociales y de salud,21918.56114330208
2015-01-01,"Transporte, almacenamiento y comunicaciones",53160.32624403298
2015-01-01,Total economía,558293.3861298406
2015-04-01,"Actividades inmobiliarias, empresariales y de alquiler",72772.77968377336
2015-04-01,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,31935.0964523378
2015-04-01,"Agricultura, ganadería, caza y silvicultura",110971.39774864804
2015-04-01,"Comercio mayorista, minorista y reparaciones",96388.57707116424
2015-04-01,Construcción,22905.616398079856
2015-04-01,"Electricidad, gas y agua",12210.28540062213
2015-04-01,Enseñanza,25949.37853364662
